iter	RMSE
0	7592.698668
1	7425.207757
2	7252.241444
3	7077.661422
4	6936.098838
5	6778.135453
6	6622.696732
7	6469.942878
8	6319.367733
9	6208.285544
10	6076.553289
11	5946.517787
12	5813.634488
13	5681.572876
14	5567.272811
15	5476.245381
16	5353.504374
17	5241.714792
18	5133.705486
19	5034.224702
20	4929.160666
21	4840.542436
22	4732.917781
23	4632.65821
24	4555.495178
25	4470.300776
26	4386.957902
27	4295.95251
28	4239.818667
29	4156.8023
30	4076.255008
31	3993.024451
32	3922.894525
33	3843.107261
34	3769.639299
35	3722.291321
36	3676.409559
37	3633.622193
38	3585.823721
39	3512.011556
40	3448.506416
41	3378.954634
42	3342.858102
43	3279.494388
44	3242.852413
45	3182.906888
46	3126.500975
47	3086.782148
48	3050.911992
49	3018.137972
50	2982.417552
51	2949.180469
52	2916.862867
53	2882.029366
54	2841.277336
55	2809.847922
56	2758.722018
57	2725.225044
58	2676.667992
59	2648.236995
60	2618.853957
61	2589.248461
62	2558.651568
63	2532.504946
64	2505.488005
65	2466.05099
66	2438.055119
67	2412.366848
68	2384.786738
69	2359.541854
70	2335.512926
71	2312.867788
72	2279.967488
73	2256.179699
74	2232.581139
75	2211.246032
76	2191.936307
77	2168.13754
78	2145.560989
79	2122.083997
80	2097.117991
81	2078.934545
82	2052.626444
83	2031.620675
84	2012.007635
85	1993.032693
86	1973.736578
87	1954.798946
88	1936.355067
89	1901.780323
90	1886.324157
91	1868.485943
92	1834.29428
93	1816.689065
94	1799.736345
95	1777.873673
96	1759.344382
97	1742.394286
98	1707.765441
99	1685.47655
100	1665.127801
101	1649.184758
102	1635.916689
103	1620.024725
104	1603.931184
105	1588.284267
106	1573.240636
107	1558.186442
108	1543.322217
109	1529.596381
110	1502.061506
111	1490.552743
112	1466.565784
113	1452.979708
114	1426.392404
115	1415.140374
116	1401.136051
117	1375.213414
118	1362.837401
119	1338.111981
120	1326.563136
121	1303.635493
122	1291.836908
123	1271.970938
124	1260.218766
125	1248.972321
126	1236.711289
127	1214.675147
128	1204.216774
129	1193.953571
130	1172.776887
131	1152.68043
132	1142.327595
133	1133.185093
134	1127.501582
135	1109.21241
136	1093.039894
137	1084.476595
138	1073.585603
139	1064.419785
140	1053.878671
141	1044.947031
142	1036.501472
143	1018.307238
144	1010.43281
145	995.3365094
146	984.0721887
147	975.7828511
148	967.8146708
149	960.4596283
150	952.7131241
151	936.6362913
152	929.2214958
153	921.0041535
154	913.4855252
155	905.3553583
156	898.0267782
157	890.6706637
158	883.2785102
159	867.2322612
160	852.3760934
161	845.6801774
162	838.8430549
163	832.4205527
164	826.2365507
165	814.7492456
166	799.7972543
167	784.0838932
168	777.6399315
169	772.3961096
170	766.4849767
171	754.2076613
172	741.0734135
173	735.0482301
174	729.4400083
175	724.1047733
176	714.474511
177	708.3268462
178	702.9120254
179	690.317274
180	684.8567645
181	679.692007
182	667.5805304
183	658.7224631
184	653.3391682
185	647.9901256
186	642.6129616
187	637.9662161
188	632.7956708
189	623.2916807
190	618.8584735
191	607.5408992
192	602.724052
193	598.218242
194	593.5969865
195	584.2494868
196	579.645708
197	575.0762383
198	568.8655599
199	558.3440775
200	554.4638364
201	550.6196862
202	546.3172212
203	542.5963225
204	538.3019052
205	528.3185052
206	524.3433913
207	520.8571627
208	513.0838471
209	509.5870028
210	500.5072986
211	497.0369275
212	489.8932905
213	486.1897111
214	482.9897301
215	479.6910708
216	471.7719367
217	468.7097809
218	465.6020674
219	462.64146
220	454.7577235
221	451.5852172
222	448.7418895
223	441.2972557
224	438.5273539
225	432.3699646
226	429.6761626
227	427.0293482
228	424.4288649
229	418.294127
230	412.6250655
231	408.4600898
232	405.8549506
233	403.2979141
234	400.79496
235	398.445587
236	396.1379786
237	389.5461205
238	383.5369143
239	381.310452
240	379.1236981
241	376.9760833
242	374.8670439
243	372.796022
244	370.7624649
245	368.7658255
246	362.7894966
247	357.058334
248	355.1304923
249	353.2377671
250	347.8411869
251	345.8755905
252	340.5737084
253	338.5774799
254	336.5344042
255	334.5343793
256	332.8350889
257	330.9062061
258	326.9531126
259	321.6881853
260	319.9035046
261	318.0696092
262	316.2746571
263	314.517805
264	312.8493714
265	307.7759444
266	306.1796526
267	301.7715469
268	300.1413091
269	298.3016848
270	296.5667505
271	294.7996522
272	293.1339799
273	288.5533021
274	284.2736302
275	280.3706183
276	278.802912
277	277.1955312
278	275.5343464
279	273.9121655
280	272.2653124
281	268.4551086
282	266.9156708
283	265.3694952
284	263.9687416
285	262.6000825
286	258.9970614
287	257.7421267
288	254.2557291
289	253.0494597
290	251.8145791
291	250.6596161
292	249.4774563
293	246.2911973
294	243.0590401
295	241.9843609
296	238.7637041
297	237.6823568
298	236.4996083
299	233.4290299
300	232.4014472
301	231.4279345
302	230.4383544
303	227.6792128
304	226.7196654
305	225.8113564
306	223.1797554
307	222.2408557
308	221.3495829
309	218.6825396
310	217.8467348
311	217.028487
312	216.1429441
313	213.6384869
314	212.781543
315	210.311441
316	209.4999374
317	207.3348724
318	205.1505886
319	204.3731353
320	203.6807967
321	201.5732416
322	199.7965788
323	199.0464228
324	197.3490982
325	196.6447341
326	195.9562991
327	194.435742
328	192.7835096
329	192.1102439
330	191.4722623
331	190.8963203
332	190.3317334
333	189.7813691
334	189.2372207
335	188.7095879
336	186.9337463
337	185.12717
338	183.3295756
339	182.7499055
340	181.3762733
341	180.9001908
342	179.5793048
343	179.1212069
344	177.5609482
345	176.4125219
346	175.1968511
347	174.0304666
348	172.5380543
349	171.9716223
350	171.5724619
351	170.9506607
352	170.3477465
353	169.9807887
354	169.4651838
355	169.0991638
356	167.6916911
357	167.198981
358	166.650048
359	165.5994651
360	165.0749077
361	164.7412171
362	163.7768886
363	163.3264841
364	162.2211548
365	161.7934908
366	161.3214453
367	160.0674119
368	159.6674211
369	159.2661133
370	158.9766558
371	158.5907432
372	157.3936229
373	157.0197321
374	155.9307619
375	155.5710081
376	154.6192134
377	154.2713252
378	153.5197576
379	153.1901605
380	152.2096404
381	150.9511585
382	150.6338373
383	149.6951007
384	148.9272035
385	148.7080846
386	147.6699313
387	147.3760016
388	146.4056778
389	145.7263614
390	145.4443895
391	144.4525114
392	144.1809061
393	143.394015
394	142.8685848
395	142.3496349
396	141.4193706
397	141.1666168
398	140.9322145
399	140.3640086
400	139.5656089
401	138.9934982
402	138.2743873
403	137.6761952
404	137.1734817
405	136.261833
406	135.7913461
407	135.3689503
408	134.6979492
409	134.1836762
410	133.7938648
411	133.4262351
412	132.8852821
413	132.2660101
414	131.4245058
415	131.0462492
416	130.5593701
417	130.2560648
418	130.0146728
419	129.1048432
420	128.5375513
421	128.1249001
422	127.7361577
423	127.5113627
424	127.0850419
425	126.5987351
426	126.4193701
427	126.2205306
428	126.1015829
429	125.9928999
430	125.2922645
431	124.9225819
432	124.7249077
433	124.3864801
434	123.7443231
435	123.5973101
436	123.4955693
437	123.1202019
438	122.9884019
439	122.6069485
440	122.4303927
441	122.3567806
442	122.0270112
443	121.3152519
444	121.0939393
445	120.7007564
446	120.5752892
447	120.4433097
448	120.1984742
449	119.7393214
450	119.072584
451	118.9681095
452	118.8103964
453	118.3258326
454	118.1867976
455	118.0292976
456	117.4112698
457	117.2001997
458	116.6901388
459	116.3574788
460	116.1994554
461	116.1324358
462	115.6619196
463	115.4444967
464	115.3401077
465	115.0188983
466	114.9651548
467	114.4966809
468	114.3948648
469	114.2761713
470	113.7983326
471	113.6831734
472	113.2070963
473	112.8684215
474	112.5307395
475	112.2148039
476	111.7648281
477	111.4147706
478	111.348413
479	110.8922037
480	110.830299
481	110.731541
482	110.5753444
483	110.4266424
484	110.3413857
485	110.2817366
486	109.8435333
487	109.4931807
488	109.3125737
489	109.2285392
490	108.9146931
491	108.7318465
492	108.322285
493	108.2061598
494	108.0211521
495	107.629115
496	107.1300194
497	107.0760941
498	106.9459739
499	106.8503886
500	106.7823435
501	106.7156929
502	106.6594899
503	106.5415861
504	106.1541357
505	106.0035279
506	105.9109487
507	105.7834816
508	105.6665982
509	105.2440769
510	105.1937045
511	104.8374414
512	104.442022
513	104.1906994
514	104.0950999
515	103.9813984
516	103.8294986
517	103.5458203
518	103.3775567
519	103.0291591
520	102.94831
521	102.8695645
522	102.7515406
523	102.3885694
524	102.0484697
525	101.7928669
526	101.492818
527	101.25031
528	101.2030362
529	100.9462636
530	100.9086923
531	100.6322519
532	100.5832156
533	100.2851813
534	100.1748367
535	100.050608
536	99.87212321
537	99.79963363
538	99.50338494
539	99.25353686
540	99.03548785
541	98.82162505
542	98.58400969
543	98.54990689
544	98.43083564
545	98.06589804
546	98.00051991
547	97.89493667
548	97.85499921
549	97.75545677
550	97.40547859
551	97.07346172
552	96.96286594
553	96.71496178
554	96.40151247
555	96.36744501
556	96.32972749
557	96.08852822
558	95.83734079
559	95.54569759
560	95.43419863
561	95.34274598
562	95.0240244
563	94.97783355
564	94.93540841
565	94.70585952
566	94.63874154
567	94.56471246
568	94.26694351
569	94.11465975
570	93.94468109
571	93.90674414
572	93.87223307
573	93.59338089
574	93.29990452
575	93.15041584
576	93.06872105
577	93.00533804
578	92.94279624
579	92.88448879
580	92.75822487
581	92.64449822
582	92.58009001
583	92.50061814
584	92.43357331
585	92.35412786
586	92.21488031
587	92.16168983
588	92.09366291
589	91.85686356
590	91.82195636
591	91.75239393
592	91.54854946
593	91.49866542
594	91.24690441
595	91.20985164
596	91.07602939
597	91.04356444
598	90.78705072
599	90.63545684
600	90.28719806
601	90.06851499
602	89.83066257
603	89.67344386
604	89.60507272
605	89.49346694
606	89.30242314
607	88.99874557
608	88.74327566
609	88.70018336
610	88.55025546
611	88.43907388
612	88.26974829
613	88.22468749
614	88.04768307
615	87.82273504
616	87.71445302
617	87.63582215
618	87.59372045
619	87.40822119
620	87.23053445
621	87.00922118
622	86.96049963
623	86.83653157
624	86.66214822
625	86.51780252
626	86.46812326
627	86.28604622
628	86.16585318
629	86.11729991
630	86.01995575
631	85.88308692
632	85.7272956
633	85.62737803
634	85.56994602
635	85.3954392
636	85.34770442
637	85.29199062
638	85.26904649
639	85.20717642
640	84.98803611
641	84.79788755
642	84.69429964
643	84.63897643
644	84.43285702
645	84.37875684
646	84.32770863
647	84.19804009
648	84.0883696
649	83.9932271
650	83.94786782
651	83.78091009
652	83.70881653
653	83.65209858
654	83.60839205
655	83.54724344
656	83.36200166
657	83.2549076
658	83.2105468
659	83.0838143
660	82.98169328
661	82.92980844
662	82.88774559
663	82.84355363
664	82.62770955
665	82.56008441
666	82.46077237
667	82.36479854
668	82.31537404
669	82.29108544
670	82.13801271
671	82.04169059
672	81.87253944
673	81.77912267
674	81.7378412
675	81.68003636
676	81.61491178
677	81.52383969
678	81.41355462
679	81.36648388
680	81.30422502
681	81.21543918
682	81.17318589
683	81.08678775
684	81.00077273
685	80.91710898
686	80.77824349
687	80.75205387
688	80.70801082
689	80.4901297
690	80.46830504
691	80.44987305
692	80.31560453
693	80.12817276
694	80.04615389
695	79.92334832
696	79.84352837
697	79.70493626
698	79.65274801
699	79.54580231
700	79.46783652
701	79.40637295
702	79.27622683
703	79.14974356
704	79.09545423
705	79.02050584
706	78.98012135
707	78.88008329
708	78.74685549
709	78.7292017
710	78.58289439
711	78.5394251
712	78.49352158
713	78.33517823
714	78.26782794
715	78.19599983
716	78.13075225
717	78.00684043
718	77.97019363
719	77.91236078
720	77.87066759
721	77.82841629
722	77.787315
723	77.57070289
724	77.52174629
725	77.41891901
726	77.39509392
727	77.35946713
728	77.16966299
729	77.1153047
730	77.08301421
731	77.05090275
732	76.95812294
733	76.91250605
734	76.73558284
735	76.69302245
736	76.53861633
737	76.50234054
738	76.38502437
739	76.35123078
740	76.30664133
741	76.18969742
742	76.15704107
743	76.05062863
744	76.00909214
745	75.98280636
746	75.9571294
747	75.75266276
748	75.71980154
749	75.67624178
750	75.64909689
751	75.60653628
752	75.56821878
753	75.53175876
754	75.48874485
755	75.45291873
756	75.43177394
757	75.39075251
758	75.36594713
759	75.32477776
760	75.29261135
761	75.25195514
762	75.11867592
763	74.95935317
764	74.92009686
765	74.88735322
766	74.78592955
767	74.75276984
768	74.67086032
769	74.64475854
770	74.56990258
771	74.4450711
772	74.32607879
773	74.29189303
774	74.24702706
775	74.21764812
776	74.17700525
777	74.08352179
778	74.04444459
779	74.01336333
780	73.87508526
781	73.83634438
782	73.81459541
783	73.66696466
784	73.54375764
785	73.44358911
786	73.27724559
787	73.25071403
788	73.21466041
789	73.0784317
790	72.98727933
791	72.96747066
792	72.93158903
793	72.88826866
794	72.85370776
795	72.79922744
796	72.77366576
797	72.75497429
798	72.6801477
799	72.64465959
800	72.61064169
801	72.59330736
802	72.47424069
803	72.37863856
804	72.19685728
805	72.10483974
806	72.05653885
807	71.96447115
808	71.86767074
809	71.83093086
810	71.79750441
811	71.72105031
812	71.70223476
813	71.66813267
814	71.6155855
815	71.57832569
816	71.54255235
817	71.5129429
818	71.48843946
819	71.44258455
820	71.40384821
821	71.24098425
822	71.17859915
823	71.09712356
824	71.07164562
825	70.91801469
826	70.86989869
827	70.84804823
828	70.75910851
829	70.59072737
830	70.56811748
831	70.48914591
832	70.46761711
833	70.44463035
834	70.41091444
835	70.34150233
836	70.30749614
837	70.17853913
838	70.14736594
839	70.12466503
840	70.10557682
841	70.04510331
842	69.9569999
843	69.93634324
844	69.90601878
845	69.76724883
846	69.74010767
847	69.70597848
848	69.6706774
849	69.64491871
850	69.627517
851	69.53936343
852	69.50198708
853	69.4840988
854	69.45341564
855	69.43455216
856	69.40749514
857	69.37779342
858	69.34341301
859	69.31074374
860	69.2815658
861	69.17703351
862	69.0918522
863	69.04249669
864	69.00771471
865	68.85735511
866	68.79686521
867	68.68837727
868	68.5583482
869	68.53274744
870	68.51283239
871	68.48114117
872	68.45501011
873	68.41497705
874	68.36113522
875	68.3300362
876	68.31029764
877	68.21739363
878	68.13479526
879	68.05145919
880	68.03973537
881	67.90362648
882	67.88380338
883	67.85507618
884	67.79763797
885	67.77881604
886	67.75291231
887	67.63938055
888	67.54557087
889	67.5139303
